min_values,max_values,concentration
39229,40937,0
39493,40017,1
38354,39030,2
37486,38261,3
36788,37210,4
35829,36376,5
34935,35399,6
34237,34633,7
33438,33808,8
32895,33184,9
32274,32453,10
31546,31763,11
30945,31239,12
30159,30216,13
29602,29827,14
