concentration,Gl SET 1,Gl SET 2,Gl SET 3
0,49171,49465,49284
10,47294,47848,47668
20,46531,46819,46598
30,44664,44570,44798
40,43543,43405,43319
50,41926,41933,41542
60,40583,40243,40083
70,39155,38923,38582
80,37432,37699,37140
90,36337,36737,36158
100,34826,35611,35247
150,30042,30181,29747
200,25724,25403,25407
250,22733,22619,22303
300,19099,19457,19722
350,17333,17578,17475
400,15472,15830,15631
450,13990,14356,14311
500,13204,13370,12923
