min_values,max_values,concentration
49171,49465,0
46903,47875,10
45582,45952,20
43056,43456,30
41327,41545,40
39135,39652,50
36797,37587,60
35428,36007,70
33725,34212,80
32665,33498,90
31473,31777,100
25118,25750,150
20830,21174,200
17894,18068,250
15430,15593,300
13682,13860,350
12392,12520,400
11400,11503,450
10657,10779,500
