min_values,max_values,concentration
47054,47192,0
43056,43247,1
39586,39695,2
36606,36750,3
33628,33911,4
30987,31302,5
28834,28986,6
26832,27263,7
24870,25527,8
23144,23478,9
21891,21963,10
20386,20775,11
19182,19900,12
18370,18483,13
17172,17536,14
16500,16638,15
15602,15971,16
15076,15202,17
13928,14240,18
13380,13814,19
12843,13089,20
12510,12862,21
